version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
8,0,1,q,1,1,"[54, 55, 13, 15, 23, 29, 53]",7,1-2,0.42857142857142855,0,8,2,0.06830378959677903,0.012305421754717827
7,0,0,r,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28]",12,1-2,0.25,0,13,2,0.07837955241710336,0.007316237315535545
8,0,1,r,1,1,"[25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28]",12,1-2,0.25,0,13,2,0.08934634298503473,0.013040898367762566
7,0,0,rx,1,1,"[65, 43, 25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28, 41, 2, 3, 4, 5, 35]",20,1-2,0.15,0,21,2,0.09265084589561481,0.0076931314542889595
8,0,1,rx,1,1,"[65, 43, 25, 24, 52, 14, 51, 13, 15, 23, 54, 53, 29, 28, 41, 2, 3, 4, 5, 35]",20,1-2,0.15,0,21,2,0.10729758852192488,0.013467260636389256
7,0,0,s,1,1,"[28, 41, 27, 2, 3, 4]",6,1-3,0.6666666666666666,0,7,3,0.11416910988009739,0.008488567546010017
8,0,1,s,1,1,"[28, 41, 27, 2, 3, 4]",6,1-3,0.6666666666666666,0,7,3,0.13312851573082626,0.014610237441956997
7,0,0,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.11785213193398604,0.008664669468998909
8,0,1,v,1,1,"[28, 41, 27, 2, 3, 4, 29, 53]",8,1-3,0.5,0,9,3,0.14479134811441094,0.0149073526263237
7,0,0,x,1,1,"[6, 34, 55, 54]",4,1-3,1.0,1,5,3,0.1204816843162093,0.008603526279330254
8,0,1,x,1,1,"[6, 34, 55, 54]",4,1-3,1.0,1,5,3,0.17165573541030943,0.015583408996462822
7,0,0,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.06733796388627142,0.006157759111374617
8,0,1,w,1,1,"[54, 29, 53, 28, 41, 13, 15, 23, 14, 51, 52]",11,1-3,0.36363636363636365,0,12,3,0.08038448365355425,0.01198879349976778
